iter	Logloss
0	0.6628625218
1	0.6349457729
2	0.6108004353
3	0.587856799
4	0.5674989532
5	0.5480068835
6	0.5306750242
7	0.5152888598
8	0.4992810287
9	0.4851922209
10	0.4722900022
11	0.4606580524
12	0.4499256139
13	0.4402925776
14	0.4312801119
15	0.4227473755
16	0.4153777299
17	0.4070736927
18	0.3992781725
19	0.3922474676
20	0.3858814529
21	0.3800853369
22	0.3750658246
23	0.3704049112
24	0.3659893259
25	0.3621424085
26	0.3583613329
27	0.3550355558
28	0.3520159305
29	0.34926549
30	0.3464925712
31	0.343976802
32	0.341648614
33	0.3394653632
34	0.3375050107
35	0.3357148973
36	0.3340286349
37	0.3324351769
38	0.33095035
39	0.3296210823
40	0.328369277
41	0.3271662564
42	0.3261381074
43	0.325105818
44	0.3240988262
45	0.32327868
46	0.3224638548
47	0.3217081094
48	0.3209962244
49	0.3202706177
50	0.3195462572
51	0.3188823716
52	0.3182441131
53	0.3177191675
54	0.3172141772
55	0.3167064134
56	0.3162675
57	0.3158379819
58	0.3153792288
59	0.3149446242
60	0.3145367017
61	0.314186299
62	0.3138212386
63	0.3134973344
64	0.3131950372
65	0.3129184092
66	0.3126600837
67	0.312396907
68	0.3121664377
69	0.3118829966
70	0.3116529515
71	0.3114106318
72	0.3111492135
73	0.3108632013
74	0.3105948086
75	0.3103421804
76	0.3101326215
77	0.3098636098
78	0.3096834704
79	0.3094525941
80	0.3092762181
81	0.3091184971
82	0.3089209748
83	0.3087671616
84	0.3085968947
85	0.3084288709
86	0.3082948231
87	0.308160811
88	0.3080352067
89	0.3078905918
90	0.307754872
91	0.3076309697
92	0.3075216967
93	0.3074097989
94	0.3072892333
95	0.3071725585
96	0.30707949
97	0.3069645383
98	0.3068620625
99	0.3067617583
100	0.3066768074
101	0.3065831529
102	0.3064885448
103	0.3063453264
104	0.3062693688
105	0.3061739009
106	0.3060945995
107	0.3060248298
108	0.3059676218
109	0.3058726239
110	0.3057970743
111	0.3057182129
112	0.3056498445
113	0.3055692972
114	0.3054951919
115	0.3054369629
116	0.3053147222
117	0.3052594137
118	0.3052101602
119	0.3051080476
120	0.3050684419
121	0.3050007987
122	0.3049475693
123	0.3048883808
124	0.3048392881
125	0.30478641
126	0.304742977
127	0.3046910488
128	0.3046560432
129	0.3045999824
130	0.3045309986
131	0.3044752323
132	0.3044330671
133	0.3043575262
134	0.3042828271
135	0.3042401066
136	0.3042085609
137	0.3041615432
138	0.3040807157
139	0.3040379832
140	0.3040034582
141	0.3039515926
142	0.3038805204
143	0.3038060067
144	0.3037802845
145	0.3037121373
146	0.3036535595
147	0.3036250933
148	0.3035953646
149	0.303568714
150	0.3035306591
151	0.3034916836
152	0.3034366736
153	0.3033995421
154	0.3033600283
155	0.3033340424
156	0.3032821685
157	0.3032527316
158	0.3031982959
159	0.3031726811
160	0.3031309059
161	0.303112288
162	0.3030882372
163	0.3030582981
164	0.3030391761
165	0.3030094009
166	0.3029830225
167	0.3029560712
168	0.302917093
169	0.3028830832
170	0.3028458531
171	0.3028082561
172	0.3027832392
173	0.3027540813
174	0.3027362762
175	0.3027051932
176	0.3026867189
177	0.3026604767
178	0.3026422979
179	0.3026205474
180	0.3025828901
181	0.3025491468
182	0.3025277764
183	0.3025004904
184	0.3024845511
185	0.3024559395
186	0.3024246944
187	0.3023973986
188	0.3023761753
189	0.3023541852
190	0.3023239285
191	0.3023036212
192	0.3022879318
193	0.3022722917
194	0.3022492041
195	0.3022296885
196	0.3021956413
197	0.3021795225
198	0.3021606834
199	0.3021389761
200	0.3021224551
201	0.3021046929
202	0.3020843678
203	0.3020625409
204	0.3020470571
205	0.3020256004
206	0.3020126228
207	0.301986644
208	0.3019674782
209	0.3019492503
210	0.3019289651
211	0.3019171479
212	0.3018954936
213	0.3018762247
214	0.3018656445
215	0.3018477285
216	0.3018306251
217	0.3018098486
218	0.3017962941
219	0.3017812536
220	0.3017567402
221	0.3017397779
222	0.3017238633
223	0.3017012476
224	0.3016902675
225	0.3016802689
226	0.3016538164
227	0.3016324477
228	0.3016179796
229	0.3016059911
230	0.3015776154
231	0.3015587768
232	0.3015398729
233	0.3015147307
234	0.3014925601
235	0.3014714571
236	0.3014538177
237	0.3014458687
238	0.3014366154
239	0.3014274178
240	0.3014065923
241	0.3013961339
242	0.3013815847
243	0.3013672281
244	0.301353152
245	0.3013417988
246	0.3013337406
247	0.3013244966
248	0.3013114836
249	0.3012994251
250	0.3012809007
251	0.3012621154
252	0.3012564977
253	0.3012517872
254	0.3012465569
255	0.3012432583
256	0.301233156
257	0.3012241073
258	0.3012146196
259	0.3012091976
260	0.301201788
261	0.301193466
262	0.3011863803
263	0.3011691091
264	0.3011517233
265	0.3011437159
266	0.3011342612
267	0.3011203324
268	0.3011046342
269	0.3010849926
270	0.3010769788
271	0.3010654099
272	0.3010521664
273	0.3010434184
274	0.3010428039
275	0.3010354906
276	0.3010212237
277	0.3010122723
278	0.301003393
279	0.300990414
280	0.300985616
281	0.3009692794
282	0.3009548843
283	0.3009370572
284	0.3009238019
285	0.3009152566
286	0.3009088074
287	0.3008998701
288	0.3008882138
289	0.3008729587
290	0.3008683684
291	0.3008581718
292	0.3008484112
293	0.3008429603
294	0.3008344979
295	0.3008192414
296	0.3008127665
297	0.3008048865
298	0.3007947195
299	0.3007941486
300	0.3007873293
301	0.3007720432
